42,12
48,0
47,0
46,0
39,15
22,6
37,0
48,0
1,0
49,1
73,28
44,1
39,16
62,0
20,0
27,7
37,0
14,0
10,0
27,4
17,20
38,33
45,40
37,21
34,33
28,28
15,20
40,4
10,15
21,1
41,16
72,31
42,11
36,100
40,1
66,7
24,15
14,10
54,33
56,32
56,45
2,1
40,25
23,11
21,14
50,100
22,50
17,52
47,0
59,45
37,14
20,0
19,16
23,21
63,23
4,1
24,16
22,1
36,24
9,9
32,10
12,1
32,5
13,5
42,1
54,10
28,42
33,2
50,50
44,13
25,9
44,44
61,17
20,10
37,13
24,12
32,0
41,13
42,0
40,15
100,66
34,2
19,25
80,2
11,10
29,8
46,21
72,1
58,56
41,11
16,3
14,14
30,7
9,30
12,21
63,17
8,1
14,36
21,31
50,50
35,12
43,14
35,4
24,32
21,0
45,0
21,0
26,0
46,20
32,60
50,0
63,1
17,0
12,7
52,23
60,4
70,0
25,0
30,37
50,33
33,0
33,0
33,0
44,18
27,12
17,0
66,0
54,0
11,0
64,14
1,20
22,2
20,0
33,44
40,20
66,33
5,10
26,5
14,7
31,13
19,15
53,53
30,15
0,5
10,10
8,45
23,10
70,67
23,23
44,1
30,10
30,13
33,3
33,14
31,25
17,6
2,1
67,1
77,7
44,44
50,20
69,1
21,9
7,100
27,30
20,100
44,0
34,0
42,51
50,0
28,28
11,7
37,0
21,33
63,19
66,66
35,0
23,0
57,1
13,0
99,33
56,36
64,24
42,18
17,0
57,2
53,1
10,0
17,0
39,0
1,1
21,1
25,25
22,1
30,1
24,14
31,5
28,1
50,50
42,19
35,0
60,45
33,33
39,19
19,19
44,1
67,9
18,9
77,10
47,19
33,10
22,22
35,20
19,0
52,30
66,33
20,100
28,1
77,52
82,70
15,1
37,0
26,3
67,0
23,2
56,29
21,29
15,5
18,10
5,0
15,0
20,1
23,0
37,25
43,29
43,3
63,3
66,0
66,23
50,86
20,35
35,1
17,10
51,2
62,10
20,5
15,1
39,20
22,0
15,15
20,5
20,0
63,60
7,39
20,2
20,10
50,0
15,1
5,1
40,26
55,2
42,1
44,1
33,0
22,15
35,16
10,5
23,23
47,29
12,1
5,3
11,0
22,40
23,20
16,24
33,15
5,10
22,22
61,38
37,0
50,0
10,5
29,0
30,0
30,22
25,13
40,1
12,2
17,0
10,1
18,3
26,0
23,0
35,15
31,13
33,33
12,0
89,3
32,66
19,19
67,0
12,3
25,20
30,0
33,0
69,0
33,33
50,50
88,88
35,43
1,100
45,15
16,0
42,1
46,38
79,0
15,0
49,12
26,4
77,7
26,4
44,44
33,33
12,0
56,44
50,6
20,1
22,0
58,14
33,20
66,22
11,1
48,0
0,20
41,22
36,40
44,8
22,1
15,15
0,0
33,32
32,22
0,0
59,24
100,17
65,55
0,10
33,22
49,60
44,0
66,10
47,21
33,0
15,11
17,15
30,30
79,42
21,28
28,28
32,0
43,4
31,7
10,66
18,3
40,6
20,0
62,3
19,1
44,7
28,28
0,100
54,5
36,0
9,0
89,50
23,11
60,0
24,0
50,66
16,4
64,64
7,0
64,64
4,0
62,1
48,0
44,44
44,0
23,0
66,15
37,14
57,13
15,5
17,7
43,11
13,66
40,0
44,30
20,20
24,24
34,5
74,40
46,31
25,6
11,8
89,10
63,30
82,50
36,7
3,7
61,60
47,35
42,10
11,2
8,15
66,10
76,34
50,14
44,16
33,33
37,15
40,1
7,11
42,0
40,10
67,0
23,5
20,1
62,12
66,23
21,37
2,0
1,1
37,37
55,2
35,8
11,100
51,11
59,37
63,36
33,2
40,40
62,22
27,19
69,50
40,2
84,100
5,3
12,10
14,4
8,100
40,11
70,76
27,0
21,7
22,3
65,5
30,10
50,19
40,6
23,10
25,40
18,35
25,9
39,17
62,7
50,0
33,0
35,0
58,9
22,13
0,0
27,27
24,0
37,2
27,0
4,3
18,16
88,8
49,20
48,5
80,30
37,37
47,35
33,16
45,0
36,36
23,14
44,20
44,3
66,0
71,3
50,0
